Order ID,Ship Mode,Customer ID,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Date,Ship Date,Customer Feedback,Coupon Code,Returned,Payment Mode,Delivery Status,Rating,Promo Applied,Complaint
CA-2017-114636,Standard Class,GA-14725,Consumer,Charlotte,North Carolina,South,Office Supplies,Paper,Xerox 1910,192.16,5,0.2,67.256,06/27/2020,07/03/2020,,NEW20,,,Delayed,4,1,
US-2016-120460,Standard Class,BF-11170,Home Office,Dallas,Texas,Central,Furniture,Furnishings,Flat Face Poster Frame,22.608,3,0.6,-10.1736,04/12/2018,04/15/2018,Average,SAVE10,,UPI,Delayed,,,
CA-2016-157749,Second Class,KL-16645,Consumer,Chicago,Illinois,Central,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038,03/27/2020,03/30/2020,Average,SAVE10,No,Wallet,Delivered,5,,No
US-2014-137869,Standard Class,CV-12295,Consumer,Des Moines,Iowa,Central,Office Supplies,Envelopes,Poly String Tie Envelopes,6.12,3,0,2.8764,08/10/2018,08/19/2018,Bad,NEW20,,Wallet,,3,0,
CA-2017-117401,Second Class,PP-18955,Home Office,Springfield,Missouri,Central,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,114.95,5,0,2.299,05/30/2019,06/07/2019,Excellent,SAVE10,Yes,Credit Card,Delivered,4,1,Yes
CA-2014-154158,Second Class,CC-12670,Consumer,Tampa,Florida,South,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,424.272,2,0.2,-10.6068,04/29/2020,05/06/2020,Average,EXTRA5,,,Lost,,,Yes
CA-2017-163265,Standard Class,JS-16030,Consumer,Decatur,Illinois,Central,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",7.692,1,0.6,-3.6537,02/11/2020,02/17/2020,Average,FREESHIP,No,Wallet,,5,,
CA-2017-102155,Standard Class,RR-19525,Corporate,Overland Park,Kansas,Central,Office Supplies,Paper,Strathmore Photo Mount Cards,13.56,2,0,6.2376,05/29/2019,06/04/2019,Good,FREESHIP,No,Cash,Lost,1,1,Yes
US-2017-111423,First Class,EH-13765,Corporate,Watertown,New York,East,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,895.92,5,0.2,302.373,08/14/2018,08/16/2018,Bad,FREESHIP,No,UPI,Lost,3,0,Yes
CA-2014-110100,Standard Class,LC-16885,Consumer,Wilmington,North Carolina,South,Technology,Phones,AT&T CL2909,302.376,3,0.2,37.797,05/08/2018,05/10/2018,Good,SAVE10,No,Wallet,Lost,1,1,Yes
US-2014-117744,Standard Class,MD-17860,Corporate,Corpus Christi,Texas,Central,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,39.96,5,0.6,-23.976,09/10/2020,09/17/2020,Bad,SAVE10,,Cash,,3,1,
CA-2016-114601,Standard Class,AA-10480,Consumer,Detroit,Michigan,Central,Technology,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,209.97,3,0,58.7916,06/21/2019,06/28/2019,Average,,No,Credit Card,Delayed,3,1,No
CA-2016-153318,First Class,JS-15595,Corporate,Miami,Florida,South,Technology,Phones,Panasonic KX-TG9471B,783.96,5,0.2,78.396,07/22/2018,07/30/2018,Average,,,,Delayed,2,1,
US-2014-126340,Standard Class,EB-13870,Consumer,Redding,California,West,Technology,Phones,Toshiba IPT2010-SD IPÂ Telephone,333.576,3,0.2,25.0182,08/05/2020,08/07/2020,Bad,EXTRA5,No,Credit Card,Delivered,3,0,Yes
CA-2016-124016,Second Class,JS-15940,Home Office,Lancaster,Ohio,East,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",28,4,0.2,7.7,02/03/2019,02/10/2019,,,,Cash,Delayed,2,1,No
CA-2016-142398,Standard Class,BP-11290,Consumer,Los Angeles,California,West,Office Supplies,Binders,JM Magazine Binder,13.208,1,0.2,4.6228,06/19/2018,06/26/2018,Excellent,EXTRA5,,Cash,Delivered,3,,Yes
CA-2014-122336,Second Class,JD-15895,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,509.97,10,0.7,-407.976,09/05/2020,09/10/2020,Excellent,SAVE10,No,Credit Card,Delivered,4,,
CA-2015-109470,Second Class,KC-16255,Corporate,Henderson,Kentucky,South,Office Supplies,Binders,Aluminum Screw Posts,76.3,5,0,38.15,01/29/2018,02/07/2018,Average,FREESHIP,No,UPI,,5,0,Yes
CA-2017-122035,Standard Class,EM-13825,Corporate,Sioux Falls,South Dakota,Central,Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,389.97,3,0,132.5898,09/19/2019,09/28/2019,Average,SAVE10,No,,,4,1,Yes
CA-2014-162775,Second Class,CS-12250,Corporate,Bossier City,Louisiana,South,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.696,08/22/2020,08/28/2020,Excellent,EXTRA5,Yes,UPI,,4,0,No
CA-2014-132500,Standard Class,GZ-14470,Consumer,San Francisco,California,West,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2,0,8.4966,07/14/2020,07/20/2020,Excellent,FREESHIP,Yes,,,1,,Yes
CA-2015-160472,Second Class,RK-19300,Consumer,South Bend,Indiana,Central,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",34.76,1,0,9.7328,06/08/2019,06/17/2019,Bad,EXTRA5,,Cash,Delayed,,0,
CA-2017-142391,Same Day,PB-19150,Consumer,Seattle,Washington,West,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,199.8,10,0,71.928,12/30/2020,01/06/2021,Excellent,SAVE10,,UPI,,3,0,
CA-2017-140326,First Class,HW-14935,Corporate,Chicago,Illinois,Central,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",6.912,3,0.2,0.864,05/09/2019,05/17/2019,Bad,NEW20,,Wallet,Delayed,4,,No
CA-2017-108560,Standard Class,JC-15385,Consumer,Kent,Washington,West,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",198.46,2,0,99.23,04/28/2018,04/29/2018,Average,SAVE10,Yes,UPI,,2,1,
CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,Office Supplies,Paper,Xerox 1931,36.288,7,0.2,12.7008,05/14/2019,05/22/2019,Good,SAVE10,,Cash,,4,1,No
CA-2015-117828,First Class,BD-11500,Consumer,Richmond,Virginia,South,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,194.32,4,0,56.3528,08/17/2019,08/20/2019,Good,FREESHIP,,,Delivered,,1,Yes
CA-2017-157112,First Class,GG-14650,Corporate,Columbus,Ohio,East,Office Supplies,Paper,Xerox 195,5.344,1,0.2,1.8704,07/26/2019,07/31/2019,,EXTRA5,,Cash,,,0,Yes
CA-2017-164364,Standard Class,CS-12355,Consumer,Seattle,Washington,West,Office Supplies,Labels,Avery 483,9.96,2,0,4.5816,10/22/2018,10/29/2018,Average,SAVE10,,Credit Card,Lost,5,0,Yes
CA-2017-100433,Standard Class,SJ-20125,Home Office,New York City,New York,East,Office Supplies,Paper,Xerox 226,25.92,4,0,12.4416,11/10/2018,11/12/2018,Average,FREESHIP,Yes,Wallet,Lost,2,,
CA-2016-162082,First Class,JS-15880,Consumer,Harlingen,Texas,Central,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",241.332,5,0.32,-14.196,05/14/2019,05/17/2019,Excellent,FREESHIP,Yes,Credit Card,Delayed,1,,Yes
CA-2016-135776,Standard Class,EH-13765,Corporate,Seattle,Washington,West,Office Supplies,Art,Newell 317,8.82,3,0,2.5578,03/30/2020,04/04/2020,Good,NEW20,Yes,Credit Card,Delayed,1,,Yes
